a.  un; una .  
up. empollar . 
mugger. asaltador; atracador . 
mugging. asalto; atraco . 
muggy. bochornoso . 
mug-shot. fotograf aparalasfichas . 
mulatto. mulato . 
mulberry. mora; morera . 
mulch. mantillo . 
mulct. multar; privarde . 
mule. mulo; babucha; testarudo . 
mulish. terco; testarudo . 
mull. calentarconaz caryespeciasmull . 
over. meditar . 
mullein. verbasco; gordolobo; plantavivazdefloresamarillasusadasenmedicinacontralatesis . 
mullet. m jol; peztele steodecuerpocasicil ndrico,red . 
mullet. salmonete . 
mulligatawny. sopadecurryangloindia . 
mullion. parteluz . 
multiaccess. accesom ltiple . 
multicellular. multicelular; pluricelular . 
multicoloured. multicolor . 
multicultural. multicultural . 
multifarious. m ltiple; divers simo; variado; diverso . 
multigym. aparatodegimnasiapararealizarejerciciosdiversos . 
multilateral. multilateral . 
multilingual. pluriling e . 
multimedia. multimedia . 
multimillionaire. multimillonario . 
multinational. multinacional . 
multiple. m ltiple; m ltiplo . 
multiplication. multiplicaci n . 
multiplicity. multiplicidad . 
multiply. multiplicar; multiplicarse . 
multipurpose. multiuso . 
multiracial. multirracial . 
multistorey. devariospisos; devariasplantas . 
multitude. multitud . 
multitudinous. multitudinario . 
mum. mam ; callado . 
mumble. mascullar; farfullar; murmurar; musitar . 
mumbo-jumbo. farsa; coco; fetiche; sortilegiorid culo; monserga . 
mummer. m scara; buf n . 
mummery. farsa; mascarada . 
mummification. momificaci n . 
mummify. momificar . 
mummy. mam ; momia . 
mump. mendigar;  . 
mumps. paperas; malhumor . 
mumpish. malhumorado . 
 . 
munch. mascarruidosamente . 
munchie. piscolabis; algoparapicar; tohave . 
munchies. tenerganasdepicaralgo . 
mundane. mundano; anodino; c smico . 
mundanity. mundanalidad . 
mundify. mundificar . 
municipal. municipal; quetienemunicipio . 
municipality. municipalidad; municipio . 
municipalize. municipalizar . 
munificence. munificencia; generosidadespl ndida . 
munificent. munificiente . 
muniment. documentosot tuloqueacreditanunderecho . 
munition. proveer;  . 
munitions. municiones . 
mural. mural . 
murder. asesinato; homicidio; asesinar; matar; destrozar; estropear . 
murderer. asesino . 
murderess. asesina . 
murderous. asesino; homicida; sanguinario; cruel; mort fero; mortal; fatal . 
murex. m rice; moluscomarinoquesegregaunlicormuyutilizadoentintorer aporlosantiguos . 
murine. parecidoaunrat n; delafamiliadelrat n . 
murk. oscuridad; tinieblas . 
murky. oscuro; l brego; sombr o; tenebroso . 
murmur. murmullo; susurro; rumor; soplo; queja; descontento; murmurar; susurrar; quejarse; refunfu ar . 
murmurous. rumoroso; murmuroso; quejoso . 
murrain. peste; fiebreaftosa; amurrainon . 
you. queteden . 
musaceous. mus ceo; ciertotipodehierbas . 
muscadine. uvaconsaboruoloramusgomuscat, . 
muscatel. moscatel; pasamoscatel . 
muscid. m scido; familiadelosd pterosalaquepertenecenlasmoscas . 
muscle. m sculo; fuerzamuscular; musculaturamuscle . 
in. introducirseporlafuerza; entrometerse . 
muscose. musgoso . 
muscosity. calidaddemusgoso . 
muscovite. moscovita . 
muscovy. moscovia . 
muscular. musculoso; muscular; vigoroso; fornido . 
musculature. musculatura . 
muse. musa; meditaci n; abstracci n; meditar; reflexionar; cavilar; estarabsortoodistra do . 
museum. museo . 
mush. gachas; masablandayespesa; papilla; sentimentalismoempalagoso; sensibler a; marchaapiesobrelanieve; paraguas . 
mushroom. hongo; seta; cosaenformadehongo; surgircomohongos; crecerdelanochealama ana; cogersetas . 
mushy. empalagoso; sensiblero; blando . 
music. m sica; o domusical; banda . 
musical. comediamusical; opereta; musical; m sico; armonioso; melodioso; aficionadoalam sica . 
musicale. veladamusical . 
musicality. musicalidad . 
musician. m sico . 
musicologist. music logo . 
 . 
musicology. musicolog a . 
musk. almizcle; almizclero . 
musket. mosquete; fusil . 
musketeer. mosquetero . 
musketry. mosqueter a . 
muskrat. rataalmizclera; desm n . 
musky. almizclado; almizcle o . 
muslim. musulm n . 
muslin. muselina; percal . 
muss. desorden; confusi n; desarreglar; desordenar; despeinar; desgre ar; arrugar; ensuciar; chafar . 
mussed. desordenado; despeinado . 
mussel. mejill n . 
mussulman. musulm n . 
must. moho; ranciedad; mosto; tenerque; deber; enmohecerse; sernecesario; convenir . 
mustache. bigote; mostacho . 
mustang. potromeste o; mustango . 
mustard. mostaza; harinademostaza . 
musteline. must lido; g neroalquepertenecenlasmartas . 
muster. reuni n; asamblea; lista; revista; juntar; juntarse; reunir; reunirse,topass . 
muster. seraceptable . 
mustiness. olorahumedad . 
musty. mohoso; rancio; quehueleacerrado; triste; mustio; trasnochado . 
mutable. mudable; inconstante . 
mutant. mutante . 
mutate. mudar; alterar; sufrirunamutaci n; mutar . 
mutation. mutaci n; cambio; mudanza; variaci n; vicisitud . 
mute. mudo; letramuda; sordina . 
muted. apagado . 
mutilate. mutilar . 
mutilation. mutilaci n . 
mutineer. amotinado . 
mutinous. rebelde; amotinado; subversivo . 
mutiny. mot n; subordinaci n; sedici n; amotinarse; rebelarse; insubordinarse . 
mutism. mutismo; mudez . 
mutt. chucho; perrocallejero . 
mutter. murmullo; refunfu ar; musitar; murmurar . 
mutton. carnero; cordero; carnedeoveja; she'smuttondressedas . 
lamb. ellaesunamujerviejayfeaquesecomponemucho . 
muttonhead. zopenco . 
mutual. mutuo; com n; rec proco; respectivo . 
mutualism. mutualismo . 
mutuality. mutualidad; reciprocidad . 
mutualize. hacermutuo . 
muzak. hilomusical . 
muzzle. ca  n; morro; hocico; bozal; bocadeunarmadefuego; m scara; silenciar; amordazar . 
muzzy. confuso; atontado; abatido; triste . 
my. mi; mis . 
mycelium. micelio; talodeloshongosqueconstituyesuaparatodenutrici n . 
mycenae. micenas . 
mycology. micolog a . 
 . 
myelitis. mielitis; inflamaci ndelam dulaespinal . 
mynheer. mise or . 
myocardium. miocardio . 
myology. miolog a; partedelaanatom aquetratadelosm sculos . 
myope. miope . 
myopia. miop a . 
myopic. miope; cortodevista . 
myopy. miop a . 
myosis. miosis; contracci nanormalopermanentedelapupiladelojo . 
myosotis. miosotis; plantaherb ceadefloresazulesllamadasnomeolvides . 
myotic. mi tico; relativoalamiosis . 
myriad. mir ada; innumerable . 
myria-. diezmil . 
myriapod. miri podo . 
myrmidon. esbirro . 
myrrh. mirra . 
myrrhic. mirrino; demirraoparecidoaella . 
myrtaceous. mirt ceo . 
myrtle. array n; mirto . 
myself. yomismo; am ; am mismo . 
mystagogue. mistagogo; sacerdotegrecorromanoqueiniciabaenlosmisterios . 
mysterious. misterioso . 
mystery. misterio; enigma; auto; dramareligioso . 
mystic. m stico; enigm tico; misterioso; m gico . 
mystical. m stico; simb lico . 
mysticism. misticismo; m stica . 
mystification. confusi n; perplejidad; enga o; misterio . 
mystify. dejarperplejo; desconcertar; enga ar; confundir; desorientar; envolverenmisterio . 
mystifying. inexplicable; desconcertante; hechoparadesorientarodespistar . 
mystique. misterio; fascinaci n; t cnicamisteriosa; periciaimpresionante . 
myth. mito; f bulamythic, . 
mythical. m tico . 
mythological. mitol gico . 
mythology. mitolog a . 
mythomania. mitoman a . 
mythomaniac. mit mano . 
mytilus. g nerodelosmejillones . 
myxoedema. condici nenfermizadebidaaunadeficienciaenlagl ndulatiroidescaracterizadaporp rdidadelcabello,sequedaddelapiel,lentitudenlosprocesosmentalesydisminuci ndelmetabolismo . 
myxoma. tumorosustanciaparecidaalagelatina . 
myxomatosis. mixomatosis; enfermedadcontagiosadelosconejos . 
myxomycete. mixomiceto; d cesedelosorganismosmicrosc picosconformademoho . 
nab. coger; prender; agazapar . 
nabob. nabab; enlaindiadiputadooadministradorbajoelimperiomogol; d cesedelquehaamasadounafortuna . 
nacarat. colornacarado; rosado . 
nacelle. barquilla; g ndola . 
nacre. n car . 
nacreaous. nacarado . 
nadir. nadir; puntodelaesferaterrestrediametralmenteopuestoalc nit . 
nag. jaca; roc n; fastidiar; importunar; rega ar; re ir; quejarse . 
nagging. continuo; persistente . 
naiad. n yade . 
nail. clavo; punta; u a; sujetar; clavar; coger; agarrar; acabarcon; tohitthenailonthe . 
head. darenelclavo; onthe . 
nail. atocatejanail . 
down. forzar; clavarnail . 
up. cerrarconclavos . 
nailbrush. cepilloparalasu as . 
nailer. fabricantedeclavos . 
nainsook. nans ; especiedemuselina . 
naive. ingenuo; inocente; c ndido; sencillonaivet , . 
na vety. ingenuidad; inocencia; sencillez; candor . 
naked. desnudo; puro; sinmezcla; descubierto . 
nakedness. desnudez . 
namby-pamby. soso;  o o; afectado; melindre; pamplina . 
name. nombre; fama; reputaci n; apodo; mote; nombrar; designar; denominar; llamar; se alar; indicar; fijar; tocall . 
names. insultar . 
name-call. insultar . 
nameless. an nimo; oscuro; humilde; indescriptible; horrible . 
namely. estoes; asaber . 
namesake. hom nimo; tocayo . 
nandu.  and nankeen, . 
nankin. nanqu n; teladealgod ndecoloramarillentomuyusadaenlossiglosxviiiyxix . 
nanny. ni era . 
nap. sue ecito; siesta; lanilla,echarunsue o . 
napalm. napalm . 
nape. napeofone's . 
neck. nuca . 
napery. manteler a . 
napkin. servilleta . 
naples. n poles . 
napoleon. ciertotipodetartahelada . 
nappy. pa al . 
narcissus. narciso . 
narcosis. narcosis; so olencia,inconscienciauotroefectoenelsistemanerviosocentralproducidoporunnarc tico . 
narcotic. narc tico; estupefaciente . 
narghile. pipa . 
narrate. narrar; contar . 
narration. narraci n; relato . 
narrative. narrativa; narrativo . 
 . 
narrator. narrador . 
narrow. angosto; estrecho; reducido; restringido; estrechar; estrecharsenarrow . 
down. reducir . 
narrow-gauge. dev aestrecha . 
narrow-minded. mezquino; estrechodemiras . 
narrow-mindedness. estrechezdemiras . 
narthex. n rtex; vest buloop rticodelasbas licasrom nicasybizantinas . 
nary. nunca; niuno . 
nasal. nasal . 
nascent. naciente . 
nasty. sucio; nauseabundo; desagradable; antip tico; travieso . 
nation. naci n; pueblo . 
national. nacional; ciudadano . 
nationalism. nacionalismo . 
nationalist. nacionalista . 
nationalistic. nacionalistanationalise, . 
nationalize. nacionalizar . 
nationality. nacionalidad . 
nationalization. nacionalizaci n . 
nationwide. nacional; portodoelpa s . 
native. ind gena; nativo; innato . 
nativity. natividad . 
nato. otan . 
natter. charla; charlar; parlotear . 
natty. elegante; garboso; diestro . 
natural. innato; natural; biol gico . 
naturalist. naturalista . 
naturalization. naturalizaci n; nacionalizaci n . 
naturalize. naturalizar; nacionalizar . 
naturally. naturalmente; porsupuesto . 
nature. naturaleza; esencia; temperamento; tipo;  ndole; natural . 
-natured. detalocualcar cter . 
naught. nought . 
naughty. desagradable; travieso; revoltoso; atrevido . 
nausea. n usea . 
nauseate. repugnar . 
nauseating. repugnante; nauseabundo . 
nauseous. conn useas . 
nautical. n utico . 
naval. naval . 
nave. nave . 
navel. ombligo . 
navigable. navegable . 
navigate. navegar; gobernar . 
navigation. navegaci n . 
navigator. navegante; copiloto . 
navvy. pe ncaminero; bracero . 
navy. azulmarino; marina; armada . 
nay. no . 
nazi. nazi . 
nazism. nazismo . 
 . 
neapolitan. napolitano . 
near. cercade; cercano; cicatero; taca o; acercarse . 
nearby. cercano; cerca . 
nearly. casi,aproximadamente . 
near-sighted. miope . 
neat. ordenado; aseado; pulcro; puro; res; estupendo; atractivo; ingenioso . 
neatness. aseo; pulcritud; limpieza; claridad; esmeroneat's-foot . 
oil. aceitequeseextraedelospiesdelosbueyes . 
nebulous. vago . 
necessary. necesario; preciso; inevitable . 
necessitate. exigir . 
necessity. necesidad . 
neck. cuello; acariciarse; besuquearse; neckand . 
neck. parejo . 
necklace. collar . 
neckline. escote . 
necktie. corbata . 
necrophilia. necrofilia . 
nectar. n ctar . 
nectarine. nectarina . 
n e. desoltera . 
need. necesidad; necesitar; deber . 
needle. aguja; pinchar; fastidiar; hacerrabiar . 
needless. innecesario; in til . 
needlework. labordeaguja; bordado . 
needy. pobre; necesitado; indigente . 
nef. utensiliodeplataenformadebarcoparaguardarlaservilletauotros tilesdemesa . 
nefarious. vil . 
negate. negar; invalidar . 
negation. negaci n . 
negative. negativo; negaci n . 
neglect. olvido; indiferencia; negligencia; descuido; abandono; descuidar . 
neglected. descuidado . 
neglectful. negligentenegligee, . 
neglig e. batasuelta; saltodecama . 
negligence. negligencia . 
negligent. negligente . 
negligible. insignificante . 
negotiable. negociable; transitable . 
negotiate. pasar; negociar; salvar; franquear; superar . 
negotiation. negociaci n . 
negotiator. negociador . 
negress. negra . 
negro. negro . 
negus. bebidacalientedevino,aguayaz car . 
neigh. relincho; relincharneighbor, . 
neighbour. vecino; pr jimoneighborhood, . 
neighbourhood. vecindario; vecindad; barrioneighboring, . 
neighbouring. contiguo; vecino; cercanoneighborliness, . 
neighbourliness. good . 
neighborliness. buenavecindad . 
neither. ningunodelosdos . 
nelly. notonyour . 
nelly. nihablar . 
 . 
nelson. llave . 
nemesis. justocastigo; justicia . 
neo. neo . 
neoclassical. neocl sico . 
neoclassicism. neoclasicismo . 
neocolonialism. neocolonialismo . 
neodymium. neodimio . 
neolithic. neol tico . 
neon. ne n . 
neorealism. neorrealismo . 
neorealist. neorrealista . 
nepal. nepal . 
nepalese. nepal s . 
nephew. sobrino . 
nephritis. nefritis . 
nepotism. nepotismo . 
neptune. neptuno . 
nerd. borde . 
nerve. audacia; nervio; valor; descaro; caradura; togetonone's . 
nerves. crisparlosnervios . 
nerve-racking. angustioso . 
nervous. nervioso . 
nervousness. nerviosismo; nervios; miedo; timidez . 
nervy. nervioso; descarado; fresco . 
nest. nido; hormiguero; anidar . 
nest-egg. ahorros . 
nestle. abrigar; recostar; anidar; acurrucar; arrellanarse . 
nestling. pajarito . 
net. red; neto; pescar . 
netball. deportefemeninoparecidoalbaloncesto . 
nether. inferior; nether . 
world. elinfierno; elotromundo . 
netherlands. holanda . 
nett. net . 
netting. red; malla . 
nettle. ortiga; irritar . 
network. cadena; red . 
neuralgia. neuralgia . 
neurologist. neur logo . 
neurology. neurolog a . 
neurosis. neurosis . 
neurotic. neur tico . 
neuter. neutro; esterilizar . 
neutral. neutral; neutro; puntomuerto . 
neutrality. neutralidad . 
neutralize. neutralizar . 
neutron. neutr n . 
never. nunca; jam s . 
never-ending. interminable . 
nevertheless. sinembargo; noobstante . 
new. nuevo;  . 
news. noticia; noticiario; noticias . 
newborn. reci nnacido . 
newcomer. reci nllegado . 
 . 
newel. posteconelqueterminalabarandilladeunaescalera . 
newfangled. moderno . 
newfound. reci nadquirido . 
newfoundland. terranova; terranova . 
newly. recientemente . 
newlywed. reci ncasado . 
news. noticia . 
newsagent. vendedordeperi dicos . 
newsflash. avanceinformativo; noticiade ltimahora . 
newsletter. bolet n; hojainformativa . 
newspaper. diario; peri dico; papeldeperi dico . 
newsprint. papelutilizadoparaimprimirperi dicos . 
newsreader. presentadordetelediario . 
newsreel. noticiario . 
newsroom. redacci n . 
newsstand. quioscodeperi dicos . 
newsworthy. deinter speriod stico . 
newt. trit n . 
next. pr ximo; siguiente; deallado; despu s; luegonext . 
to. casi; alladode . 
next-door. deallado . 
nib. punta; plumilla; plum n . 
nibble. mordisquear; picar . 
nicaragua. nicaragua . 
nicaraguan. nicarag ense . 
nice. agradable; ameno; bonito; rico; simp tico; sutil . 
niceness. loagradable; sutileza . 
nicety. niceness . 
niche. hornacina; hueco . 
nick. muesca; mella; corte,chirona; hacermuescas; estafar; robar; pinchar; nickof . 
time. atiempo . 
nickel. monedadecincocentavos; n quel; niquelar . 
nickelodeon. entretenimientodecincocentavos; tocadiscos; gramola . 
nickname. mote; apodo; apodar . 
nicotine. nicotina . 
niece. sobrina . 
nifty. h bil; diestro; ingenioso; genial; elegante . 
niger. n ger . 
nigeria. nigeria . 
nigerian. nigeriano . 
niggard. taca o; avaro; nimio; insignificante . 
niggardly. taca o; avariento; insignificante . 
nigger. negro . 
niggle. pararseenpeque eces; fastidiar . 
niggling. demasiadominucioso; molesto; engorrosonigh, . 
night. near . 
night. noche . 
nightcap. bebida . 
nightclub. cabaret; saladefiestas . 
nightdress. camis n . 
nightfall. anochecer . 
 . 
nightgown. camis nnightie, . 
nighty. camis n . 
nightingale. ruise or . 
nightjar. chotacabras . 
nightlife. vidanocturna . 
nightly. nocturno . 
nightmare. pesadilla . 
nightmarish. depesadilla; espantoso . 
nightshade. hierbamora . 
night-soil. contenidodelosretretesosumiderosquegeneralmenteseretirandurantelanocheyavecesseusancomofertilizante . 
nightstick. porra . 
night-time. noche . 
nihilism. nihilismo . 
nihilist. nihilista . 
nihilistic. nihilista . 
nil. ninguno; nada; cero . 
nile. nilo . 
nimble.  gil; ligero . 
niminy-piminy. remilgado . 
nimrod. grancazadorodeportista . 
nincompoop. bobo; tonto; papirote . 
nine. nueve; tothe . 
nines. depuntaenblanco . 
nineteen. diecinueve . 
nineteenth. decimonono . 
ninetieth. nonag simo . 
ninety. noventa . 
ninny. bobo; lelo; mentecato . 
ninth. noveno . 
nip. mordisco; trago; pellizco; pellizcar; helar; morder; mordisquearnip . 
in. entrar . 
nipper. chiquillo; mocoso;  . 
nippers. pinzas; alicates . 
nipple. pez n; tetilla; tetina . 
nippy.  gil; listo; r pido; fr o . 
nirvana. nirvana . 
nit. idiota; imb cil; memo; liendre . 
nither. temblardefr o . 
nitpick. criticar . 
nit-picker. critic n . 
nit-picking. critic n . 
nitrate. nitrato . 
nitric. n trico . 
nitrogen. nitr genonitroglycerin, . 
nitroglycerine. nitroglicerina . 
nitwit. simple; bobo; memo . 
nix. nada; nihablar; esp ritudelaguaqueatraeasusv ctimasasuhogarsubmarino; vetar; prohibir . 
no. ninguno; no . 
nob. personaje . 
nobility. nobleza . 
noble. noble; generoso; grandioso; antiguamonedainglesadeoro . 
 . 
nobleman. noble . 
noblewoman. noble . 
nobody. nadie . 
nocturnal. nocturno . 
nod. cabeceo; saludooasentimientoconlacabeza; inclinar; cabecear; asentirosaludarconlacabezanod . 
off. quedarsedormido . 
noddle. mollera . 
noddy. bobo; simple; p jarooce nicoparecidoalagolondrinapocoacostumbradoaloshombresyquesedejacogerconfacilidad,porloqueseleconsideraest pido; sota; taxiconunapuertatrasera . 
nodule. n dulo . 
noel. navidad . 
noggin. vasopeque o . 
noise. alboroto; ruido . 
noiseless. silencioso . 
noisome. asqueroso; f tido; maloliente; nocivo; pernicioso; malsano . 
noisy. ruidoso . 
nomad. n mada . 
nomadic. n mada . 
no-man's-land. tierradenadienomde . 
plume. seud nimo . 
nomenclature. nomenclatura . 
nominal. nominal; te rico; simb lico . 
nominate. nombrar; proponer . 
nomination. nombramiento; nominaci n . 
nominative. nominativo . 
nominee. candidatonon . 
sequitur. incongruencia . 
non-aggression. noagresi n . 
non-alcoholic. sinalcohol . 
non-aligned. noalineado . 
non-believer. nocreyente . 
nonce. forthe . 
nonce. porelmomento; porahora . 
nonchalance. despreocupaci n . 
nonchalant. indiferente; despreocupado . 
non-combatant. nocombatientenon-commissioned . 
officer. suboficial . 
noncommittal. evasivo . 
nonconformist. inconformista; miembrodecualquieradelasiglesiasescindidasdelaanglicana . 
nondescript. indeterminado; inclasificable; mediocre; anodino . 
none. ninguno; nadie . 
nonentity. ceroalaizquierda; personainsignificante . 
nonetheless. sinembargo; noobstante . 
non-event. decepci n . 
non-existent. inexistente . 
non-fattening. quenoengorda . 
non-fiction. noficci n . 
non-flammable. incombustible . 
non-intervention. nointervenci n . 
non-member. nosocio . 
 . 
non-nuclear. convencional . 
no-no. inaceptable . 
non-nonsense. sensato . 
nonpareil. sinpar . 
non-payment. impago . 
nonplus. dejarperplejo; confundir . 
nonplussed. perplejo . 
non-profit-making. sin nimodelucro . 
non-returnable. noretornable . 
nonsense. tonter as . 
nonsensical. disparatado; absurdo . 
non-smoker. nofumador . 
non-smoking. denofumadores . 
non-stick. antiadherente . 
non-stop. sinescalas,sinparadas; sinparar . 
nontoxic. not xico . 
non-transferable. intransferible . 
non-union. nosindicado . 
non-violence. noviolencia . 
non-violent. noviolento . 
noodles. fideos . 
nook. rinc n; escondrijo . 
noon. mediod a . 
noose. nudocorredizo; lazo . 
nope. no . 
nor. ni . 
nordic. n rdico . 
norm. norma . 
normal. normal . 
normality. normalidad . 
normalize. normalizar . 
norman. normando; rom nico . 
normandy. normand a . 
norse. n rdico; noruego; escandinavo . 
north. norte; septentrional; haciaelnorte . 
northbound. endirecci nalnorte . 
north-east. nordeste . 
northeastern. delnordeste . 
northerly. delnorte . 
northern. norte o; delnorte; septentrional . 
northerner. norte o . 
northward. haciaelnorte . 
north-west. noroeste . 
northwestern. delnoroeste . 
norway. noruega . 
norwegian. noruego . 
nose. nariz; hocico; morro; olfato; pegar; husmear; hacerfrentea; avanzarpocoapoconoseabout/ . 
around. curiosearnose . 
into. entrometerseen . 
nosebleed. hemorragianasal . 
nose-cone. cabezaseparable . 
 . 
nose-count. recuento . 
nosedive. picado; caerenpicado . 
no-see-um. mosquito . 
nosegay. ramilletenosey, . 
nosy. curioso; entrometido; fisg n . 
nosh. comer; papear . 
nostalgia. nostalgia . 
nostalgic. nost lgico . 
nostril. ventanadelanariz; fosanasal . 
nostrum. panacea,remediosecreto . 
not. no . 
notable. notable . 
notary. notario . 
notation. notaci n . 
notch. grado; escal n; muesca; hacermuescasen . 
note. apunte; esquela; nota; tecla; billete; consideraci n; comprobar; notar; observar; apuntar; anotar; of . 
note. deimportancianote . 
down. apuntar; anotar . 
notebook. blocdenotas; cuaderno; libreta . 
noted. ilustre; c lebre . 
notepad. blocdenotas . 
notepaper. papeldeescribir; papelparacartas . 
noteworthy. dignodemenci n . 
nothing. nada . 
notice. aviso; atenci n; noticia; letrero; anuncio; advertir; notar; observar; darsecuenta; ver; atamoment's . 
notice. enelacto,casisinaviso . 
noticeable. notable; perceptible; evidente . 
notification. notificaci n . 
notify. notificar . 
notion. noci n; idea . 
notoriety. malafama . 
notorious. demalafama . 
notwithstanding. noobstante; sinembargo . 
nougat. turr n; dulceparecidoalturr nduro . 
nought. cero; nada . 
noun. nombre; sustantivo . 
nourish. alimentar; nutrir . 
nourishing. nutritivo . 
nourishment. alimento; sustento; nutrici n . 
nouveau. nuevo . 
novel. novela; novedoso . 
novelist. novelista . 
novelty. novedad; bagatela . 
november. noviembre . 
novice. novato; principiante; novicio . 
novitiate. noviciado . 
now. ahora; actualmente; ya; ahoraque . 
nowadays. hoyend a; actualmente . 
nowhere. enningunaparte . 
nowise. dening nmodo; nada . 
noxious. nocivo . 
 . 
nozzle. punta; pit n; boquilla . 
nuance. matiz . 
nub. pedazo; trozo; loesencial; protuberancia . 
nubbin. espigadema zpeque aodeforme . 
nubbly. llenodegrumos; desigual; nadac modo . 
nubile. n bil . 
nuclear. nuclear . 
nucleus. n cleo . 
nude. desnudo . 
nudge. codazo; tocarconelcodo; empujar . 
nudism. nudismo . 
nudist. nudista . 
nudity. desnudez . 
nugget. pepita . 
nuisance. fastidio; molestia . 
nuke. bombaat mica . 
null. nulo . 
nullify. anular . 
numb. entumecido; insensible; torpe; aterido; entumecer . 
numbed. insensible; entumecido . 
number. n mero; cifra; numerar; tohaveone's . 
number. tenercalado . 
numbness. entumecimiento; insensibilidad . 
numeral. n mero . 
numerical. num rico . 
numerous. numeroso . 
numskull. zopenco . 
nun. monja . 
nunnery. conventodemonjas . 
nuptial. nupcial;  . 
nuptials. nupcias . 
nurse. enfermera; ni era; mantener; cuidar; guardar; alimentar; amamantar; atendera; acunar; trabajardeenfermero . 
nursemaid. ni era . 
nursery. cuartodelosni os; guarder a; vivero . 
nursing. enfermer a; cuidado; asistencia . 
nursling. lactante; ni odepecho . 
nurture. criar; alimentar; nutrir; albergar . 
nut. frutoseco; nuez; tuerca; cabeza; chalado; loco . 
nutcase. chiflado; chalado; loco . 
nutcracker. cascanueces . 
nuthatch. manicomio . 
nuthouse. loquero . 
nutmeat. carnedenuez . 
nutmeg. nuezmoscada . 
nutrient. nutriente . 
nutrition. nutrici n . 
nutritious. nutritivo . 
nuts. chalado; loco . 
nutshell. c scaradenuez; ina . 
nutshell. enpocaspalabras . 
nutter. chalado; loco . 
nutty. almendrado; confrutossecos; chalado; loco . 
nuzzle. husmear; acurrucarse; acariciarconelhocico . 
nuzzle . 
up. arrimarse . 
nylon. nylon . 
nymph. ninfa . 
oaf. zoquete; pat n; bruto; manazas . 
oafish. lerdo . 
oak. roble . 
oakum. estopadecalafatear . 
oar. remo . 
oasis. oasisoast, . 
oast-house. secaderoparal pulo; hornoconformac nica . 
oat. avena . 
oater. western . 
oath. juramento; onone's . 
oath. bajojuramento . 
oatmeal. avena; harinadeavena . 
obduracy. terquedad; obstinaci n . 
obdurate. obstinado; terco; inflexible . 
obedience. obediencia . 
obedient. obediente . 
obeisance. reverencia; saludo; respeto; homenaje . 
obese. obeso . 
obesity. obesidad . 
obey. obedecer . 
obituary. notanecrol gica;  . 
obituaries. defuncionesnecrol gicas . 
object. objetivo; objeto; cosa; complemento; objetar; oponerse . 
object-lesson. lecci npr ctica; ejemplo . 
objection. objeci n . 
objectionable. insufrible; insoportable; censurable; inadmisible . 
objective. objetivo; prop sito . 
objectivity. objetividad . 
objurgation. increpaci n; reprensi n; reconvenci n . 
oblation. oblaci n; ofrenda . 
obligation. obligaci n; compromiso . 
obligatory. obligatorio . 
oblige. complacer; obligar . 
obliging. servicial; complaciente; cort s; simp tico . 
oblique. evasivo; oblicuo; indirecto . 
obliquity. oblicuidad . 
obliterate. borrar; arrasar; destruir . 
oblivion. olvido; inconsciencia . 
oblivious. olvidado; abstra do; inconsciente; ajeno . 
oblong. rect ngulo; rectangular . 
obnoxious. ofensivo; odioso; repugnante . 
oboe. oboe . 
obscene. obsceno; indecente . 
obscenity. obscenidad . 
obscure. misterioso; oscuro; ocultar; esconder . 
obsequious. servil . 
observance. observancia; acatamiento; pr ctica . 
observant. observador . 
observation. observaci n . 
observatory. observatorio . 
observe. observar; respetar; comentar . 
 . 
observer. observador . 
obsess. obsesionar . 
obsession. obsesi n . 
obsessional. obsesivo . 
obsessive. obsesivo . 
obsolescent. antig edad . 
obsolete. obsoleto . 
obstacle. obst culo; estorbo . 
obstetric. obst trico;  . 
obstetrics. obstetricia; tocolog a . 
obstetrician. obstreta; toc logo . 
obstinacy. obstinaci n; terquedad . 
obstinate. obstinado; testarudo; pertinaz . 
obstreperous. ruidoso; estrepitoso; desmandado . 
obstruct. obstruir; atascar; entorpecer; dificultar . 
obstruction. obstrucci n . 
obtain. conseguir; obtener . 
obtainable. adquirible . 
obtrusive. molesto . 
obtuse. obtuso; negado . 
obverse. anverso . 
obvious. obvio; evidente . 
occasion. motivo; ocasi n . 
occasional. ocasional . 
occasionally. devezencuando . 
occlude. obstruir . 
occult. oculto . 
occupant. ocupante . 
occupation. ocupaci n; pasatiempo . 
occupational. profesional . 
occupied. ocupado . 
occupier. ocupante . 
occupy. ocupar . 
occur. hallarse; acontecer; ocurrir; suceder; producirse . 
occurrence. acontecimiento . 
ocher. ocre . 
ocean. oc ano . 
ocean-going. dealtamar . 
oceania. ocean a . 
ochre. ocre . 
octagon. oct gono; oct gono . 
octagonal. octogonal . 
octave. octava . 
octet. octeto . 
october. octubre . 
octogenarian. octogenario . 
octopus. pulpo . 
oculist. oculista . 
od. god . 
odd. impar; ocasional; espor dico; raro; extra o . 
oddball. bichoraro . 
oddity. curiosidad; excentricidad . 
 . 
oddment. bagatela; baratija; retal . 
odds. probabilidades; oddsand . 
ends. retazos; baratijas; chucher as; odds . 
on. lom sprobable; tobeatodds . 
with. estarre idocon . 
ode. oda . 
odious. odiosoodor, . 
odour. olor; perfume; fragancia . 
odourless. inodoro . 
oesophagus. es fago . 
oestrogen. estr geno . 
of. de . 
off. libre; fuera; desde . 
offal. despojosderesesmuertas; desperdicios; basura; asaduras . 
offbeat. nadaconvencional . 
off-center. tobe . 
off-center. estardescentrado . 
off-chance. posibilidadremota . 
